epci_code;com_name;com_code;arrdep_code;arrdep_name;dep_code;com_arm_siren_code
242100154;Moloy;21421;212;Dijon;21;212104210
242101434;Poinçon-lès-Larrey;21488;213;Montbard;21;212104889
200071017;Posanges;21498;213;Montbard;21;212104988
242101434;Pothières;21499;213;Montbard;21;212104996
242101491;Rougemont;21530;213;Montbard;21;212105308
200070894;Saint-Bernard;21542;211;Beaune;21;212105423
242101434;Semond;21602;213;Montbard;21;212106025
242100410;Talant;21617;212;Dijon;21;212106173
200006682;Volnay;21712;211;Beaune;21;212107122
200069391;Coëtmieux;22044;224;Saint-Brieuc;22;212200448
242200715;Gouarec;22064;222;Guingamp;22;212200646
200069391;Jugon-les-Lacs - Commune nouvelle;22084;224;Saint-Brieuc;22;200056711
200069391;Landéhen;22098;224;Saint-Brieuc;22;212200984
200067460;Merdrignac;22147;224;Saint-Brieuc;22;212201479
200069409;Plourhan;22232;224;Saint-Brieuc;22;212202329
200067460;Plussulien;22244;224;Saint-Brieuc;22;212202444
200069391;Rouillac;22267;224;Saint-Brieuc;22;212202675
200068989;Saint-André-des-Eaux;22274;221;Dinan;22;212202741
242200715;Saint-Gilles-Pligeaux;22294;222;Guingamp;22;212202949
200044014;Alleyrat;23003;231;Aubusson;23;212300305
242320000;Châtelus-le-Marcheix;23056;232;Guéret;23;212305601
200067544;Clugnat;23064;231;Aubusson;23;212306401
242320109;Fresselines;23087;232;Guéret;23;212308704
200041556;Genouillac;23089;232;Guéret;23;212308902
200067593;Peyrat-la-Nonière;23151;231;Aubusson;23;212315105
200067593;Saint-Maurice-près-Crocq;23218;231;Aubusson;23;212321806
242300135;Saint-Maurice-la-Souterraine;23219;232;Guéret;23;212321905
200067544;Toulx-Sainte-Croix;23254;231;Aubusson;23;212325401
200034833;Bayac;24027;241;Bergerac;24;212400279
200034833;Beaumontois en Périgord;24028;241;Bergerac;24;200060036
200040095;Beauronne;24032;243;Périgueux;24;212400329
200040400;Bourg-des-Maisons;24057;243;Périgueux;24;212400576
200041440;Cénac-et-Saint-Julien;24091;244;Sarlat-la-Canéda;24;212400915
200041150;Chourgnac;24121;244;Sarlat-la-Canéda;24;212401210
200041440;Florimont-Gaumier;24184;244;Sarlat-la-Canéda;24;212401848
200034833;Gaugeac;24195;241;Bergerac;24;212401954
200041168;Mauzens-et-Miremont;24261;244;Sarlat-la-Canéda;24;212402614
200040889;Montaut;24287;241;Bergerac;24;212402879
200040384;Moulin-Neuf;24297;243;Périgueux;24;212402978
200027217;Proissans;24341;244;Sarlat-la-Canéda;24;212403414
200070647;Ribagnac;24351;241;Bergerac;24;212403513
242400935;La Roche-Chalais;24354;243;Périgueux;24;212403547
200040392;Val de Louyre et Caudeau;24362;243;Périgueux;24;200065332
200040392;Saint-Geyrac;24421;243;Périgueux;24;212404214
200069094;Saint-Louis-en-l'Isle;24444;243;Périgueux;24;212404446
200034197;Saint-Martin-de-Gurson;24454;241;Bergerac;24;212404545
200069094;Saint-Martin-des-Combes;24456;243;Périgueux;24;212404560
247000722;Aibre;25008;252;Montbéliard;25;212500086
242504181;Belmont;25052;253;Pontarlier;25;212500524
242504355;La Bosse;25077;253;Pontarlier;25;212500771
242504496;Bouverans;25085;253;Pontarlier;25;212500854
200069565;Châtelblanc;25131;253;Pontarlier;25;212501316
242504447;Châtillon-Guyotte;25132;251;Besançon;25;212501324
200068070;Cléron;25155;251;Besançon;25;212501555
242504181;Épenoy;25219;253;Pontarlier;25;212502199
200068070;Épeugney;25220;251;Besançon;25;212502207
200065647;Glay;25274;252;Montbéliard;25;212502744
242504447;Hyèvre-Paroisse;25313;251;Besançon;25;212503130
242504181;Magny-Châtelard;25355;253;Pontarlier;25;212503551
242504181;Plaimbois-Vennes;25457;253;Pontarlier;25;212504575
242504447;Pont-les-Moulins;25465;251;Besançon;25;212504658
200065647;Présentevillers;25469;252;Montbéliard;25;212504690
200069565;Reculfoz;25483;253;Pontarlier;25;212504831
200069565;Rondefontaine;25501;253;Pontarlier;25;212505010
242504371;Servin;25544;251;Besançon;25;212505440
200068294;Trouvans;25572;251;Besançon;25;212505721
200065647;Vandoncourt;25586;252;Montbéliard;25;212505861
247000722;Le Vernoy;25608;252;Montbéliard;25;212506083
242504181;Villers-la-Combe;25625;253;Pontarlier;25;212506257
242600534;Arnayon;26012;261;Die;26;212600126
200067767;Le Chaffal;26066;261;Die;26;212600662
200068229;Condorcet;26103;262;Nyons;26;212601033
