id,text,name,scale,zipcodes,code
70957-europe,Europe,Europe,Continent,,EU
70956-france,France,France,Pays,,FRA
109666-action-cur-de-ville,Action cœur de ville,Action cœur de ville,Ad-hoc,,ACV_2020
110460-agglomerations-concernees-par-les-zones-a-faibles-emissions-mobilite-zfe-m,Agglomérations concernées par les Zones à faibles émissions mobilité (ZFE-m),Agglomérations concernées par les Zones à faibles émissions mobilité (ZFE-m),Ad-hoc,,ZFE-m
109700-alliance-intermetropolitaine-loire-bretagne,Alliance Intermétropolitaine Loire Bretagne,Alliance Intermétropolitaine Loire Bretagne,Ad-hoc,,Alliance Intermé
110384-allier-cantal-correze-creuse-puy-de-dome,Allier Cantal Corrèze Creuse Puy-de-Dôme,Allier Cantal Corrèze Creuse Puy-de-Dôme,Ad-hoc,,CA Centre France
109698-alpes-de-haute-provence-hautes-alpes-alpes-maritimes-bouches-du-rhone-corse-du-sud-haute-corse-var-vaucluse,"Alpes de Haute-Provence, Hautes-Alpes, Alpes-Maritimes, Bouches-du-Rhône, Corse-du-Sud, Haute-Corse, Var, Vaucluse","Alpes de Haute-Provence, Hautes-Alpes, Alpes-Maritimes, Bouches-du-Rhône, Corse-du-Sud, Haute-Corse, Var, Vaucluse",Ad-hoc,,Sud-Est
109787-alpes-maritimes-bouches-du-rhone-et-var,"Alpes-Maritimes, Bouches-du-Rhône et Var","Alpes-Maritimes, Bouches-du-Rhône et Var",Ad-hoc,,AMBDRV
109702-alpilles-parc-naturel-regional,ALPILLES (Parc naturel régional),ALPILLES (Parc naturel régional),Ad-hoc,,ALPILLES PNR
109017-alsace,Alsace,Alsace,Ad-hoc,,ALS
109004-aquitaine,Aquitaine,Aquitaine,Ad-hoc,,AQU
109036-arc-de-linnovation,Arc de l'innovation,Arc de l'innovation,Ad-hoc,,Arc de l'innovat
109695-ardennes-08-aube-10-marne-51-haute-marne-52-meurthe-et-moselle-54-meuse-55-vosges-88,Ardennes (08) + Aube (10) + Marne (51) + Haute-Marne (52) + Meurthe-et-Moselle (54) + Meuse (55) + Vosges (88),Ardennes (08) + Aube (10) + Marne (51) + Haute-Marne (52) + Meurthe-et-Moselle (54) + Meuse (55) + Vosges (88),Ad-hoc,,Nord-est
109704-ardennes-parc-naturel-regional,ARDENNES (Parc naturel régional),ARDENNES (Parc naturel régional),Ad-hoc,,ARDENNES PNR
109706-armorique-parc-naturel-regional,ARMORIQUE (Parc naturel régional),ARMORIQUE (Parc naturel régional),Ad-hoc,,ARMORIQUE PNR
